x_S_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
253.1087083,46.255132,22.8358426,-0.6165138,0.0320128,16.0481783,-4.6312674
255.1016903,47.3466478,24.5022977,-0.5392587,0.0436037,15.4623401,-3.6205777
257.0946723,48.2908156,26.2579437,-0.4451156,0.0510176,14.9884112,-3.3325473
259.0876542,49.0536772,28.0979871,-0.3402644,0.0535395,14.5385369,-3.1176925
261.0806362,49.6161954,30.0094499,-0.2311115,0.0569253,14.1046817,-2.903541
263.0736181,49.9575015,31.9718978,-0.1109828,0.0638286,13.6882664,-2.6981211
265.0666001,50.0498972,33.9624715,0.0185523,0.0654821,13.2896209,-2.5650225
267.059582,49.8819079,35.9463319,0.1516403,0.0695149,12.8992223,-1.9976903
269.052564,49.4406688,37.8873425,0.2980563,0.0774449,12.5867873,-1.0757108
271.0455459,48.7042347,39.7373189,0.4639913,0.0902174,12.4152918,-0.3211772
273.0385279,47.6495895,41.4240937,0.6566284,0.0981295,12.3636269,0.1052082
275.0315099,46.2883663,42.876067,0.8488092,0.0955449,12.3805745,0.5877681
277.0244918,44.6797597,44.0473622,1.0303644,0.0855003,12.4748326,1.3228591
279.0174738,42.8947845,44.928544,1.1910781,0.0763973,12.6844124,2.1127934
281.0104557,40.9958272,45.5286341,1.335964,0.0692238,13.0121418,2.7031471
283.0034377,39.0330259,45.8617791,1.467091,0.0624455,13.4197795,3.1853645
284.9964196,37.0424634,45.9483531,1.5856872,0.056752,13.8847841,3.6146582
286.9894016,35.0550582,45.8094301,1.6938861,0.0519571,14.3942741,3.9638987
288.9823835,33.092546,45.4660726,1.79237,0.0468016,14.9330199,4.2743185
290.9753655,31.1703214,44.9411514,1.8807873,0.0419777,15.4929779,4.4528028
292.9683475,29.2989912,44.2574817,1.9598321,0.037403,16.0555621,4.459724
294.9613294,27.4831949,43.4360398,2.0299477,0.0329408,16.5999209,4.2676946
296.9543114,25.7256108,42.4974182,2.0911769,0.0284465,17.1046266,4.0327401
298.9472933,24.0239835,41.4607614,2.1431976,0.0237713,17.5682272,3.7915877
300.9402753,22.37295,40.3445243,2.1857588,0.0189031,17.9932137,3.5691035
302.9332572,20.7653932,39.1670928,2.2185258,0.0139677,18.3842883,3.3743907
304.9262392,19.1910009,37.9452262,2.2413856,0.0089714,18.7465265,3.2042007
306.9192211,17.6389291,36.6955902,2.2542817,0.0039723,19.0841317,3.0478166
308.9122031,16.0966459,35.4335767,2.2572303,-0.0010016,19.3998085,2.8941641
310.9051851,14.5514835,34.1743292,2.2503222,-0.0059219,19.6948878,0.9029819
312.898167,12.9926276,32.933933,2.2340468,-0.0103618,19.7860521,-2.7700161
314.891149,11.4077346,31.7253559,2.2091514,-0.0144822,19.5050423,-6.0955205
316.8841309,9.7884159,30.5627806,2.1765192,-0.0182541,18.8719408,-7.2643534
318.8771129,8.1285059,29.4603665,2.1362752,-0.022165,18.0885239,-6.6548027
320.8700948,6.4207947,28.4319411,2.0880711,-0.0262522,17.3398067,-6.0971434
322.8630768,4.6622762,27.4947033,2.0314117,-0.0306425,16.6242564,-5.5775413
324.8560587,2.8488095,26.6663581,1.9654681,-0.0356055,15.9415816,-5.0542736
326.8490407,0.9813305,25.9689255,1.8892054,-0.0409136,15.2966621,-4.6869359
328.8420227,-0.934944,25.4267636,1.8017865,-0.0470513,14.6733061,-4.6204827
330.8350046,-2.8998886,25.0629759,1.7056506,-0.0485472,14.0317082,-4.7238983
332.8279866,-4.8815054,24.8923945,1.6065577,-0.0520365,13.3438955,-4.020723
334.8209685,-6.869534,24.9274433,1.4983716,-0.0562599,12.7292219,-2.7378955
336.8139505,-8.8397185,25.195432,1.3645879,-0.0797579,12.293085,-1.1544585
